Level,Algorithm,Duration,Score,Lives
1,BFS,22.99,2460,3
1,A*,20.85,2460,3
1,RTA*,20.71,2460,3
1,Backtracking,20.52,2460,3
1,Genetic,30.95,2460,3
2,A*,21.53,2460,3
3,RTA*,28.26,2260,0
1,Genetic,39.42,2460,3
1,A*,28.29,2460,3
3,A*,38.51,2460,3
3,A*,35.27,2460,3
3,Backtracking,20.11,1980,0
3,Genetic,75.21,2460,1
1,A*,11.18,1010,3
1,Manual,9.48,80,3
2,Genetic,41.08,2460,3
3,A*,3.07,280,3
3,A*,26.50,2460,3
3,A*,26.46,2460,3
3,A*,26.39,2460,3
1,A*,3.93,370,3
1,DCQL,5.50,20,3
1,DCQL,4.21,10,3
1,DCQL,63.79,30,0
1,DCQL,5.54,10,3
2,BFS,20.77,2250,0
2,A*,21.47,2460,3
2,RTA*,36.92,2460,3
2,Backtracking,18.88,2190,0
2,Genetic,55.12,2460,2
2,DCQL,53.40,20,0
3,BFS,0.00,2250,0
3,DCQL,83.40,20,0
3,DCQL,0.42,10,0
3,DCQL,0.42,10,0
3,DCQL,0.47,10,0
3,DCQL,0.45,10,0
3,DCQL,0.44,10,0
3,DCQL,0.47,10,0
3,DCQL,0.43,10,0
3,DCQL,0.41,10,0
3,DCQL,0.43,10,0
3,DCQL,0.45,10,0
3,DCQL,0.44,10,0
3,DCQL,0.42,10,0
3,DCQL,0.55,10,0
3,DCQL,0.46,10,0
3,DCQL,0.53,10,0
3,DCQL,0.56,10,0
3,DCQL,0.55,10,0
3,DCQL,0.46,10,0
3,DCQL,0.46,10,0
3,DCQL,0.58,10,0
3,DCQL,0.51,10,0
3,DCQL,0.47,10,0
3,DCQL,0.44,10,0
3,DCQL,0.44,10,0
3,DCQL,0.43,10,0
